Age,Year,Incidence,Sex
10,1985,0,m
11,1985,0,m
12,1985,0.00000004,m
13,1985,0.0000004,m
14,1985,0.0000023,m
15,1985,0.00001066,m
16,1985,0.0000304,m
17,1985,0.00006,m
18,1985,0.0001072,m
19,1985,0.0001332,m
20,1985,0.0001572,m
21,1985,0.000182,m
22,1985,0.000208,m
23,1985,0.000238,m
24,1985,0.000268,m
25,1985,0.0004,m
26,1985,0.0004,m
27,1985,0.0004,m
28,1985,0.0004,m
29,1985,0.0004,m
30,1985,0.0004,m
31,1985,0.0004,m
32,1985,0.0004,m
33,1985,0.0004,m
34,1985,0.0004,m
35,1985,0.0004,m
36,1985,0.0004,m
37,1985,0.0004,m
38,1985,0.0004,m
39,1985,0.0004,m
40,1985,0.0004,m
41,1985,0.000366,m
42,1985,0.000342,m
43,1985,0.000316,m
44,1985,0.00029,m
45,1985,0.000264,m
46,1985,0.00024,m
47,1985,0.000218,m
48,1985,0.0001958,m
49,1985,0.000175,m
50,1985,0.0001554,m
51,1985,0.0001372,m
52,1985,0.0001202,m
53,1985,0.0001048,m
54,1985,0.000091,m
55,1985,0.0000786,m
56,1985,0.0000678,m
57,1985,0.0000582,m
58,1985,0.0000498,m
59,1985,0.0000426,m
60,1985,0.0000364,m
61,1985,0.000031,m
62,1985,0.0000262,m
63,1985,0.0000222,m
64,1985,0.00001862,m
65,1985,0.00001564,m
66,1985,0.00001312,m
67,1985,0.00001098,m
68,1985,0.00000916,m
69,1985,0.00000764,m
70,1985,0.00000634,m
71,1985,0.00000526,m
72,1985,0.00000434,m
73,1985,0.00000356,m
74,1985,0.00000292,m
75,1985,0.0000024,m
76,1985,0.00000198,m
77,1985,0.00000162,m
78,1985,0.00000132,m
79,1985,0.00000106,m
80,1985,0.00000086,m
81,1985,0.0000007,m
82,1985,0.00000056,m
83,1985,0.00000046,m
84,1985,0.00000038,m
85,1985,0.00000032,m
86,1985,0.00000026,m
87,1985,0.00000024,m
88,1985,0.00000024,m
89,1985,0.00000026,m
90,1985,0.00000056,m
10,1986,0,m
11,1986,0,m
12,1986,0.00000016,m
13,1986,0.00000138,m
14,1986,0.0000078,m
15,1986,0.0000298,m
16,1986,0.000081,m
17,1986,0.0001616,m
18,1986,0.0002,m
19,1986,0.0004,m
20,1986,0.0004,m
21,1986,0.0006,m
22,1986,0.0006,m
23,1986,0.0008,m
24,1986,0.001,m
25,1986,0.001,m
26,1986,0.0012,m
27,1986,0.0014,m
28,1986,0.0016,m
29,1986,0.0016,m
30,1986,0.0018,m
31,1986,0.0018,m
32,1986,0.002,m
33,1986,0.002,m
34,1986,0.002,m
35,1986,0.002,m
36,1986,0.002,m
37,1986,0.002,m
38,1986,0.0018,m
39,1986,0.0018,m
40,1986,0.0016,m
41,1986,0.0016,m
42,1986,0.0014,m
43,1986,0.0014,m
44,1986,0.0012,m
45,1986,0.0012,m
46,1986,0.001,m
47,1986,0.001,m
48,1986,0.0008,m
49,1986,0.0008,m
50,1986,0.0006,m
51,1986,0.0006,m
52,1986,0.0006,m
53,1986,0.000446,m
54,1986,0.000388,m
55,1986,0.000336,m
56,1986,0.00029,m
57,1986,0.00025,m
58,1986,0.000214,m
59,1986,0.0001832,m
60,1986,0.0001564,m
61,1986,0.0001332,m
62,1986,0.0001132,m
63,1986,0.0000958,m
64,1986,0.0000808,m
65,1986,0.000068,m
66,1986,0.000057,m
