year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,14
2020,cancers,20,female,total,114
2020,cancers,25,female,total,459
2020,cancers,30,female,total,851
2020,cancers,35,female,total,1171
2020,cancers,40,female,total,1283
2020,cancers,45,female,total,1347
2020,cancers,50,female,total,1290
2020,cancers,55,female,total,1136
2020,cancers,60,female,total,960
2020,cancers,65,female,total,742
2020,cancers,70,female,total,519
2020,cancers,75,female,total,405
2020,cancers,80,female,total,264
2020,cancers,85,female,total,143
